Subject,Course Number,Course Name,Course Code,Workload %,Advisory Prerequisites,Enforced Prerequisites
"EARTH","100","Coral Reefs","EARTH100","19","N/A","N/A"
"EARTH","101","Matter, Life, and Environment","EARTH101","5","N/A","N/A"
"EARTH","102","Energy from the Earth","EARTH102","8","N/A","N/A"
"EARTH","103","Dinosaurs and Other Failures","EARTH103","11","N/A","N/A"
"EARTH","104","Ice Ages-Past&Futur","EARTH104","6","N/A","N/A"
"EARTH","105","Our Active Earth: Plate Tectonics and Geohazards","EARTH105","3","N/A","N/A"
"EARTH","106","Earth Science in Feature Films Minicourse","EARTH106","20","No prior scientific knowledge is required.","N/A"
"EARTH","107","Volcano&Earthquakes","EARTH107","7","N/A","N/A"
"EARTH","108","When Earth Attacks:  The Science Behind Natural Disasters","EARTH108","6","N/A","N/A"
"EARTH","109","Water and Society","EARTH109","8","N/A","N/A"
"EARTH","110","Evolving Oceans","EARTH110","6","N/A","N/A"
"EARTH","111","Formation of a Habitable Planet","EARTH111","3","No prior scientific knowledge is required.","N/A"
"EARTH","112","The Great Lakes","EARTH112","3","No prior scientific knowledge is required","N/A"
"EARTH","113","Planets and Moons","EARTH113","1","N/A","N/A"
"EARTH","114","Global Warming","EARTH114","0","High School math, physics, and chemistry.","N/A"
"EARTH","115","The Science Behind Michigan's Environmental Justice Issues","EARTH115","6","N/A","N/A"
"EARTH","116","Restless Earth: Introduction to Earth Science of the Rocky Mountains","EARTH116","54","N/A","N/A"
"EARTH","117","Mammals: Dawn of Us","EARTH117","N/A","N/A","N/A"
"EARTH","118","Introductory Earth Science Laboratory","EARTH118","5","Prior or concurrent enrollment in EARTH 119, or 205 and 206, or 284","N/A"
"EARTH","119","Introduction to Earth Science","EARTH119","2","Concurrent enrollment in ENVIRON or EARTH (GEOSCI) 118 for the lab","N/A"
"EARTH","120","Geology of National Parks and Monuments","EARTH120","8","N/A","N/A"
"EARTH","122","Extreme Weather","EARTH122","12","N/A","N/A"
"EARTH","125","Evol & Extinction","EARTH125","2","N/A","N/A"
"EARTH","130","The Physical World","EARTH130","43","High-school algebra.","N/A"
"EARTH","131","Earth and Environmental Chemistry","EARTH131","17","N/A","N/A"
"EARTH","132","Earth and Environmental Math","EARTH132","20","N/A","N/A"
"EARTH","133","Programming in Earth and Environmental Sciences","EARTH133","26","EARTH 132; MATH 115 or equivalent","N/A"
"EARTH","134","The Complicated Past, Present, and Future of Geosciences","EARTH134","0","N/A","N/A"
"EARTH","140","Climate and the Media","EARTH140","0","High school science highly recommended.  Enrollment restricted to first-year students, including those with sophomore standing.","N/A"
"EARTH","142","From Stars - Stones","EARTH142","17","High school math and science.  Enrollment restricted to first-year students, including those with sophomore standing.","N/A"
"EARTH","144","Climate Change in the Age of Humans","EARTH144","N/A","High school science and math recommended. Enrollment restricted to first-year students, including those with sophomore standing.","N/A"
"EARTH","146","Plate Tectonics","EARTH146","0","Enrollment restricted to first-year students, including those with sophomore standing.","N/A"
"EARTH","147","Natural Hazards","EARTH147","N/A","Enrollment restricted to first-year students, including those with sophomore standing.","N/A"
"EARTH","148","Environmental Geol","EARTH148","N/A","High school math and science.  Enrollment restricted to first-year students, including those with sophomore standing.","N/A"
"EARTH","151","The Ice Ages: Past and Present","EARTH151","4","Enrollment restricted to first-year students, including those with sophomore standing.","N/A"
"EARTH","153","Earthlike Planets","EARTH153","N/A","High school science and math recommended. Only first-year students (including first-year students with sophomore standing) may pre-register for this course. All other students need permission of instructor.","N/A"
"EARTH","154","Ocean Resources","EARTH154","N/A","High school science and math recommended.  Enrollment restricted to first-year students, including those with sophomore standing.","N/A"
"EARTH","156","Coral Reef Dynamics","EARTH156","7","N/A","N/A"
"EARTH","158","Environmental Impact of Energy Systems:  What are the Risks?","EARTH158","N/A","High school science and math recommended.  Enrollment restricted to first-year students, including those with sophomore standing.","N/A"
