Subject,Course Number,Course Name,Course Code,Workload %
"AAS","103","First Year Social Science Seminar","AAS103","17"
"AAS","104","First Year Humanities Seminar","AAS104","12"
"AAS","115","Elementary Swahili I","AAS115","4"
"AAS","116","Elementary Swahili II: Language and Culture","AAS116","4"
"AAS","125","Elementary Yoruba I","AAS125","0"
"AAS","126","Elementary Yoruba II","AAS126","0"
"AAS","200","Introduction to African Studies","AAS200","15"
"AAS","201","Introduction to Afro-American Studies","AAS201","4"
"AAS","202","Introduction to African Diasporic Studies","AAS202","7"
"AAS","206","Issues African St","AAS206","N/A"
"AAS","208","Introduction to African Art","AAS208","10"
"AAS","214","African American Art","AAS214","12"
"AAS","215","Intermediate Swahili I","AAS215","5"
"AAS","216","Intermediate Swahili II","AAS216","2"
"AAS","224","African Visual Cultures:  Akan/Kongo/Yoruba","AAS224","N/A"
"AAS","225","Intermediate Yoruba I","AAS225","0"
"AAS","226","Intermediate African Languages II","AAS226","N/A"
"AAS","226","Intermediate Yoruba II","AAS226","0"
"AAS","230","Survey of Afro-American History I","AAS230","10"
"AAS","231","Survey of Afro-American History, II","AAS231","N/A"
"AAS","232","Survey of African American Cinema","AAS232","N/A"
"AAS","233","Stayin' Alive: Performing Race in 1970s U.S. Film","AAS233","19"
"AAS","246","Africa to 1850","AAS246","11"
"AAS","247","Modern Africa","AAS247","47"
"AAS","248","Crime, Race, and the Law","AAS248","3"
"AAS","250","Law, Race, and the Historical Process, I","AAS250","N/A"
"AAS","251","Law, Race, and the Historical Process, II","AAS251","N/A"
"AAS","254","The History and Evolution of Hip Hop Culture","AAS254","2"
"AAS","255","From the Underground to Motown: A Course on Detroit's History","AAS255","N/A"
"AAS","260","The Political Economy of African Development","AAS260","12"
"AAS","261","Nature and Power: An Introduction to Political Ecology","AAS261","20"
"AAS","262","20th Century African-American Social Movements","AAS262","N/A"
"AAS","271","Introduction to Afro-American Literature","AAS271","11"
"AAS","275","Black women in Popular Culture","AAS275","5"
"AAS","290","Selected Topics in Black World Studies","AAS290","5"
"AAS","303","Race and Ethnic Relations","AAS303","13"
"AAS","304","Gender and Immigration:  Identity, Race, and Place","AAS304","N/A"
"AAS","309","Global Health in African Contexts","AAS309","N/A"
"AAS","310","Atlantic Slavery and the Making of the Modern World","AAS310","N/A"
"AAS","315","Advanced Swahili I","AAS315","N/A"
"AAS","316","Advanced Swahili II","AAS316","N/A"
"AAS","317","Threads: What Does Clothing Have to Do with Race, Culture, Politics, and the Environment?","AAS317","51"
"AAS","319","The Black Church","AAS319","N/A"
"AAS","321","African American Social Thought","AAS321","N/A"
"AAS","322","Introduction to Environment Politics:  Race, Class, and Gender","AAS322","13"
"AAS","323","Black Feminist Thought and Practice","AAS323","10"
"AAS","324","Dealing with the Past and Doing Justice in Africa:  South Africa, Rwanda, Sierra Leone","AAS324","N/A"
"AAS","325","Advanced Yoruba I","AAS325","N/A"
"AAS","326","Advanced Yoruba II","AAS326","N/A"
"AAS","327","Aspc Blk Exp","AAS327","N/A"
"AAS","329","Writing Sex: Contemporary Black Women Writers","AAS329","23"
"AAS","330","Living for the City: Black Study and Urban Transformation","AAS330","N/A"
"AAS","331","Wrl Blk Chld","AAS331","N/A"
"AAS","335","Medical Anthropologies of Kinship, Relatedness, and the Human","AAS335","47"
"AAS","337","Black Women in the U.S., Part II: Contemporary Perspective in the 20th and 21st Centuries","AAS337","N/A"
"AAS","338","Lit Afro Cul","AAS338","33"
"AAS","340","Blacks in Films","AAS340","N/A"
"AAS","341","Black Queer Histories","AAS341","N/A"
"AAS","342","Hip Hop Africa","AAS342","N/A"
"AAS","342","From the Underground to Motown: A Course on Detroit's History","AAS342","N/A"
"AAS","346","Literature in African History","AAS346","71"
"AAS","347","Urban Inequality in America","AAS347","16"
"AAS","350","Theory and Practice of Visionary Organizing","AAS350","N/A"
"AAS","353","Urban Ethnography and the Black Experience","AAS353","14"
"AAS","354","Race and Identity in Music","AAS354","N/A"
"AAS","355","Health and Illness in African Worlds","AAS355","19"
"AAS","356","Democracy and Development in Africa","AAS356","21"
"AAS","357","Environmental Governance and African Development","AAS357","46"
"AAS","358","Black World Studies","AAS358","12"
"AAS","359","African Politics","AAS359","N/A"
"AAS","362","Expressive Cultures of the Black Atlantic:  Vision and Time","AAS362","N/A"
"AAS","363","Politics of International Aid","AAS363","22"
"AAS","365","Global Perspectives on Gender, Health, and Reproduction","AAS365","N/A"
"AAS","366","Music of Africa","AAS366","19"
"AAS","367","Africanist Dance Traditions: From Minstrelsy to Hip Hop","AAS367","N/A"
"AAS","371","Black Arts Matter: Black Women Performers and Politics","AAS371","N/A"
"AAS","374","Readings in African American and Black Literatures","AAS374","N/A"
"AAS","382","Toni Morrison","AAS382","N/A"
"AAS","384","Caribbean Literature","AAS384","20"
"AAS","385","African Literature","AAS385","N/A"
"AAS","391","Psychology of the Black Experience","AAS391","0"
"AAS","392","Mad, Bad, and Sad: Mental Health in the U.S.","AAS392","13"
"AAS","393","Flawless/Formation/Freedom: Writing About Race, Gender and Popular Culture","AAS393","N/A"
"AAS","394","Junior Seminar in Professional Writing","AAS394","N/A"
"AAS","395","Germany and the Black Diaspora","AAS395","2"
"AAS","407","Looking at African Things","AAS407","N/A"
"AAS","408","African Ec Soc&Pol","AAS408","N/A"
"AAS","410","Supervised Research","AAS410","0"
"AAS","411","Caribbean Religions: Creole Spiritualities from Vodou to Islam","AAS411","N/A"
"AAS","418","Black Americans and the Political System","AAS418","6"
"AAS","421","Religions of the African Diaspora","AAS421","N/A"
"AAS","426","Cities in Contemporary Africa","AAS426","4"
"AAS","438","Black Intimacies in the U.S.","AAS438","4"
"AAS","439","Creole Lang","AAS439","N/A"
"AAS","441","Political Violence in Africa","AAS441","N/A"
"AAS","449","Energy Matters: Environment, Culture, Power, and the Oil State","AAS449","N/A"
"AAS","453","Culture, Class, and Conflict in Southern Africa","AAS453","N/A"
"AAS","457","When China Comes to Town: Environment and the Politics of Development in Africa","AAS457","N/A"
"AAS","458","Black World Issues","AAS458","22"
"AAS","460","Africa and Post-war Development Theory and Policy","AAS460","N/A"
"AAS","464","Mus Lat Am & Caribb","AAS464","N/A"
"AAS","473","Brazil:  History and Culture","AAS473","N/A"
"AAS","474","The Archaeology of Nubia","AAS474","N/A"
"AAS","482","Black Queer Theory","AAS482","9"
"AAS","490","Special Topics in Black World Studies","AAS490","1"
"AAS","495","Senior Seminar","AAS495","29"
"AAS","498","DAAS In Action","AAS498","18"
"AAS","510","Supervised Research","AAS510","N/A"
"AAS","515","Elementary Swahili I","AAS515","5"
"AAS","516","Elem Swahili II","AAS516","3"
"AAS","517","Elementary African languages I","AAS517","0"
"AAS","518","Elementary African Languages II","AAS518","0"
"AAS","519","Afram&Pol Rac","AAS519","N/A"
"AAS","525","Intermediate Swahili I","AAS525","5"
"AAS","526","Intermediate Swahili II","AAS526","0"
"AAS","535","Advanced Swahili I","AAS535","N/A"
"AAS","536","Advanced Swahili II","AAS536","N/A"
"AAS","549","Energy Matters: Environment, Culture, Power, Oil and the State","AAS549","N/A"
"AAS","556","Staging Blackness: Black Drama and the African American Literary Tradition","AAS556","N/A"
"AAS","558","Black World Seminar","AAS558","25"
"AAS","564","Mus Lat Am & Caribb","AAS564","N/A"
"AAS","600","Proseminar:  Interdisciplinary Approaches to African Studies","AAS600","43"
"AAS","601","Interdisciplinary Approaches to African American and Diasporan Studies","AAS601","N/A"
"AAS","625","Intermediate Yoruba I","AAS625","0"
"AAS","626","Intermediate African Language II","AAS626","N/A"
"AAS","629","Studies in African History","AAS629","N/A"
"AAS","634","The Urban Ethnographic Tradition: Theory, Method, Standpoint","AAS634","N/A"
"AAS","662","Health and Socioeconomic Development","AAS662","N/A"
"AAS","715","Advanced Swahili I","AAS715","N/A"
"AAS","716","Advanced Swahili II","AAS716","N/A"
"AAS","725","Advanced Yoruba I","AAS725","N/A"
"AAS","726","Advanced Yoruba II","AAS726","N/A"
"AAS","890","Capstone Course","AAS890","N/A"
"AAS","892","Capstone Research Course - African Studies","AAS892","N/A"
"ACC","300","Financial Accounting","ACC300","6"
"ACC","301","Managerial Accounting","ACC301","17"
"ACC","302","Financial Accounting","ACC302","30"
"ACC","303","Managerial Accounting","ACC303","10"
"ACC","312","Intermediate Financial Accounting","ACC312","6"
"ACC","315","P&L Leadership via Cost Management","ACC315","11"
"ACC","317","Federal Taxation and Managerial Decisions","ACC317","31"
"ACC","335","Managing the Maize and Blue Fund","ACC335","56"
"ACC","336","Managing the Maize and Blue Fund","ACC336","52"
"ACC","338","Managing the Maize and Blue Fund as a Senior Analyst","ACC338","N/A"
"ACC","399","Independent Study Project","ACC399","N/A"
"ACC","418","Capstone - Financial Statement Analysis","ACC418","31"
"ACC","471","Accounting Principles","ACC471","18"
"ACC","480","Effective Real Estate Financial Modeling","ACC480","11"
"ACC","502","Principles of Financial Accounting","ACC502","25"
"ACC","533","Principles of Financial Accounting","ACC533","49"
"ACC","534","Principles of Management Accounting","ACC534","12"
"ACC","551","Principles of Managerial Accounting","ACC551","N/A"
"ACC","552","Management Accounting","ACC552","5"
"ACC","555","Corporate Financial Research and Reporting","ACC555","16"
"ACC","557","Evaluating Financial Performance","ACC557","12"
